City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.01,74,24,4.19,GS,1700944474
1,papatowai,-46.5619,169.4708,14.97,64,46,3.16,NZ,1700944475
2,college,64.8569,-147.8028,-5.86,89,40,0.0,US,1700944475
3,petropavlovsk-kamchatsky,53.0452,158.6483,-6.42,69,20,11.62,RU,1700944237
4,ormara,25.2088,64.6357,23.01,60,99,4.62,PK,1700944475
5,adamstown,-25.066,-130.1015,21.79,83,100,10.9,PN,1700944476
6,blackmans bay,-43.0167,147.3167,13.18,96,100,0.45,AU,1700944476
7,puerto natales,-51.7236,-72.4875,13.25,47,40,18.01,CL,1700944476
8,mana,5.6592,-53.7767,26.99,81,68,4.72,GF,1700944476
9,kodiak,57.79,-152.4072,5.73,100,100,2.06,US,1700944477
10,ushuaia,-54.8,-68.3,10.81,62,75,9.77,AR,1700944477
11,sinop,41.7711,34.8709,11.21,78,100,8.07,TR,1700944477
12,santander,43.4647,-3.8044,11.92,90,75,2.57,ES,1700944477
13,warrnambool,-38.3833,142.4833,14.02,88,100,6.93,AU,1700944237
14,lihue,21.9789,-159.3672,26.58,76,0,0.0,US,1700944347
15,akureyri,65.6835,-18.0878,0.96,93,0,0.0,IS,1700944478
16,lebu,-37.6167,-73.65,13.48,79,15,7.9,CL,1700944478
17,waitangi,-43.9535,-176.5597,16.01,98,100,2.68,NZ,1700944478
18,iqaluit,63.7506,-68.5145,-12.15,79,75,10.29,CA,1700944214
19,bethel,41.3712,-73.414,4.83,50,0,3.09,US,1700944479
20,okhotsk,59.3833,143.3,-21.81,83,92,9.76,RU,1700944479
21,puerto aysen,-45.4,-72.7,11.01,96,100,2.28,CL,1700944479
22,happy valley-goose bay,53.3168,-60.3315,-8.83,67,40,6.17,CA,1700944480
23,punta arenas,-53.15,-70.9167,13.06,41,0,21.61,CL,1700944328
24,papao,-17.75,-149.55,28.82,77,77,10.5,PF,1700944480
25,fada,9.5667,8.3,23.32,72,81,0.28,NG,1700944480
26,port elizabeth,-33.918,25.5701,19.06,86,98,0.89,ZA,1700944481
27,aleksandrovskoye,44.7142,43.0008,8.39,93,100,2.41,RU,1700944481
28,la passe,45.5549,-0.8967,3.88,75,42,3.42,FR,1700944481
29,fort bragg,35.139,-79.006,12.12,49,0,4.63,US,1700944481
30,san julian,21.0167,-102.1667,23.46,17,1,5.26,MX,1700944482
31,olonkinbyen,70.9221,-8.7187,-2.28,71,6,6.78,SJ,1700944482
32,palasa,18.7667,84.4167,21.44,75,75,2.39,IN,1700944482
33,puerto deseado,-47.7503,-65.8938,21.49,31,59,3.65,AR,1700944482
34,jamestown,42.097,-79.2353,4.18,51,0,2.06,US,1700944312
35,madera,37.1666,-119.8343,18.07,48,0,2.13,US,1700944483
36,timimoun,29.2639,0.231,14.21,26,0,1.03,DZ,1700944483
37,hermanus,-34.4187,19.2345,16.97,72,38,3.7,ZA,1700944483
38,bredasdorp,-34.5322,20.0403,15.81,79,88,2.03,ZA,1700944483
39,cambria,35.5641,-121.0808,18.36,55,4,3.13,US,1700944483
40,polyarnyy,69.1989,33.4478,-6.43,86,99,3.11,RU,1700944400
41,klyuchi,52.2667,79.1667,0.11,57,96,4.6,RU,1700944484
42,derbent,42.0678,48.2899,11.98,67,94,0.71,RU,1700944484
43,moscow,55.7522,37.6156,-4.76,97,63,1.17,RU,1700944369
44,susuman,62.7833,148.1667,-25.75,99,100,2.81,RU,1700944484
45,konarka,19.9,86.1167,19.22,64,43,3.24,IN,1700944485
46,dalhart,36.0595,-102.5133,-0.29,86,100,0.0,US,1700944485
47,dawson creek,55.7666,-120.2362,3.8,70,0,1.54,CA,1700944485
48,pijijiapan,15.7011,-93.23,31.35,59,15,3.32,MX,1700944197
49,minzhu,43.7286,127.3447,-9.39,94,100,0.57,CN,1700944485
50,maceio,-9.6658,-35.7353,27.69,69,20,6.69,BR,1700944231
51,pihuamo,19.2499,-103.3828,29.48,34,3,1.92,MX,1700944486
52,kijang,35.2442,129.2139,-1.15,41,1,2.15,KR,1700944486
53,agde,43.3108,3.4758,7.02,51,0,5.66,FR,1700944486
54,albany,42.6001,-73.9662,3.65,58,100,1.79,US,1700944287
55,port-aux-francais,-49.35,70.2167,3.75,77,15,16.72,TF,1700944487
56,kidal,18.4411,1.4078,22.02,10,1,2.48,ML,1700944487
57,vadso,70.0744,29.7487,-0.51,93,100,8.75,NO,1700944487
58,stanley,54.868,-1.6985,0.29,90,20,1.54,GB,1700944487
59,pisco,-13.7,-76.2167,23.03,68,0,5.14,PE,1700944488
60,el granada,37.5027,-122.4694,17.46,35,0,5.14,US,1700944488
61,harstad,68.799,16.5293,0.64,91,97,1.38,NO,1700944488
62,talnakh,69.4865,88.3972,-22.74,98,39,2.55,RU,1700944488
63,kavalerovo,44.2661,135.0572,-11.36,76,25,6.71,RU,1700944489
64,afaahiti,-17.75,-149.2833,27.93,79,97,8.8,PF,1700944489
65,east ballina,-28.8667,153.5833,22.67,75,52,3.42,AU,1700944489
66,ilulissat,69.2167,-51.1,8.01,53,100,7.2,GL,1700944489
